,Video_id,Title,Published_date,Views,Likes,Comments,Channel_Title,Month
44,4hyBchBq9r4,Non-Vegetarians Try Vegan Food For 24 Hours | BuzzFeed India,2022-11-26,364366,13195,282,BuzzFeed India,Nov
45,dlQUFzrnpKI,We Tasted The Most Unpopular Items On The Starbucks Menu | BuzzFeed India,2022-11-19,265327,10695,317,BuzzFeed India,Nov
46,Hxg5O7U_7W8,Who Has The Best Momo Order? | BuzzFeed India,2022-11-12,501730,16880,655,BuzzFeed India,Nov
47,Fysvmm54lcU,Men Face Their Biggest Fashion Fear | BuzzFeed India,2022-11-05,74767,3770,139,BuzzFeed India,Nov
48,Nhx5G-x5j_g,We Tasted Tamil Nadu Sweets For The First Time | BuzzFeed India,2022-10-29,415013,14025,506,BuzzFeed India,Oct
49,YyX4wi7byfQ,Can I Cook Better Than My Mom? | Diwali Episode | BuzzFeed India,2022-10-22,160274,6920,99,BuzzFeed India,Oct
50,6MM8Iy21_XE,USA v/s India Mystery Box Swap | BuzzFeed India,2022-10-15,186621,7718,119,BuzzFeed India,Oct
51,MIw1tHASpNM,Who Has The Best Indian-Chinese Food Order? | BuzzFeed India,2022-10-08,580373,22269,390,BuzzFeed India,Oct
52,5syoBYPiVaM,Diwali Inspired Diwali Fashion Challenge | BuzzFeed India,2022-10-01,126828,6198,159,BuzzFeed India,Oct
53,LnOZYFe9aLw,Who Has The Best Dosa Order? | BuzzFeed India,2022-09-24,447520,16728,604,BuzzFeed India,Sep
54,56xSFR-GC9I,Can We Remember All The Steps To This Recipe? | BuzzFeed India,2022-09-17,145801,6715,132,BuzzFeed India,Sep
55,9gp8BGSAwnI,We Tasted The Most Unpopular Items On The McDonald's Menu | BuzzFeed India,2022-09-10,341684,14074,358,BuzzFeed India,Sep
56,6J8QAvmdtps,Adults Choose Outfits From Their Parents’ Wardrobes | BuzzFeed India,2022-09-07,86858,4114,123,BuzzFeed India,Sep
57,Vx9iqJy6KRQ,I Pick A Best Friend Based On An Easy Snack Recipe | BuzzFeed India,2022-09-03,249115,11924,278,BuzzFeed India,Sep
58,zxiCMlibMN4,Who Has The Best Shaadi Order? | BuzzFeed India,2022-08-27,420272,16238,565,BuzzFeed India,Aug
59,7FQ1MmrI-nY,Can I Cook This Iconic Meal From Iran? | BuzzFeed India,2022-08-20,155291,7639,168,BuzzFeed India,Aug
60,Ox5ENiMatcI,We Tasted The Most Unpopular Items On The Domino's Menu | BuzzFeed India,2022-08-13,443797,16243,321,BuzzFeed India,Aug
61,L2chsN7Qvzg,We Cooked Our Favourite Recipes For Each Other | BuzzFeed India,2022-08-06,358368,16354,389,BuzzFeed India,Aug
62,9_ZUX7ca1DE,Strangers Order Food For Each Other For 24 hours | BuzzFeed India,2022-07-30,264331,12063,197,BuzzFeed India,Jul
63,6By3ObpcNRA,Who Has The Best Comfort Food? | BuzzFeed India,2022-07-23,608406,20840,493,BuzzFeed India,Jul
64,c5yfKEGs1zY,Reviewing Bollywood's Portrayal Of People With Disabilities | BuzzFeed India,2022-07-20,29713,1488,61,BuzzFeed India,Jul
65,UN3Vz6QAfrs,Does Shayan Know His Mom By Her Cooking? | BuzzFeed India,2022-07-16,274929,12624,192,BuzzFeed India,Jul
