,Video_id,Title,Published_date,Views,Likes,Comments,Month
532,eI3lzXlmH2U,Recover Binary Search Tree | C++ Placement Course | Lecture 28.11,2021-04-07,29771,820,66,Apr
533,YgC-IXiMrRM,Largest Binary Search Tree in BT | C++ Placement Course | Lecture 28.10,2021-04-07,32644,985,123,Apr
534,ftBT8kH-QtM,Identical Binary Search Tree | C++ Placement Course | Lecture 28.8,2021-04-06,24106,788,49,Apr
535,xtuhK-a18is,Zig Zag Traversal Binary Search Tree | C++ Placement Course | Lecture 28.7,2021-04-05,36223,990,48,Apr
536,1ZAotQGnbi4,Catalan Numbers Application | C++ Placement Course | Lecture 28.6,2021-04-05,41080,1188,83,Apr
537,C59kWTK4_Zs,Build Balanced BST from Sorted Array | C++ Placement Course | Lecture 28.5,2021-04-04,42713,1243,50,Apr
538,_XgTN72fguk,Check for Binary Search Tree | C++ Placement Course | Lecture 28.4,2021-04-04,46752,1373,110,Apr
539,DUiYVJIVNcA,Namaste World in Bootstrap | Web Development Course,2021-04-03,300511,7594,251,Apr
540,vFW80O0NzBU,Construct Binary Search Tree from Preorder | C++ Placement Course | Lecture 28.3,2021-04-03,45119,1110,108,Apr
541,kU9Lv3e_kxs,Search and Delete in Binary Search Tree | C++ Placement Course | Lecture 28.2,2021-04-03,97960,2345,150,Apr
542,ywK_wgQwKJY,Updating Design of Mega Project | Web Development Course,2021-04-02,189633,3587,156,Apr
543,ScdwdSCnXDU,Binary Search Trees | Introduction & Build | C++ Placement Course | Lecture 28.1,2021-04-02,104956,2415,109,Apr
544,NIJN63astRc,Max Sum Path from One Node to Another in Binary Tree | C++ Placement Course | Lecture 27.16,2021-04-02,36147,954,108,Apr
545,JW-9nhktGGA,Lowest Common Ancestor in Binary Tree | C++ Placement Course | Lecture 27.15,2021-04-01,52285,1399,100,Apr
546,f-oTsCUCiXk,Nodes at Distance K in Binary Tree | C++ Placement Course | Lecture 27.14,2021-04-01,50846,1236,94,Apr
547,WR6-DrAsNpc,Flatten a Binary Tree | C++ Placement Course | Lecture 27.13,2021-03-31,47264,1266,102,Mar
548,E1f9ncPxgPE,Shortest Distance between 2 Nodes | C++ Placement Course | Lecture 27.12,2021-03-31,63431,1382,107,Mar
549,zDkNaQYusu0,Left View of Binary Trees | C++ Placement Course | Lecture 27.11,2021-03-30,45052,1185,55,Mar
550,jeJTgKPydAw,Right View of Binary Tree | C++ Placement Course | Lecture  27.10,2021-03-30,52980,1383,70,Mar
551,bh4eb_6SwRA,Height Balanced Binary Tree | C++ Placement Course | Lecture 27.9,2021-03-29,69715,1751,87,Mar
552,xDayqPCWmkY,Sum Replacement in Binary Tree | C++ Placement Course | Lecture 27.8,2021-03-29,47604,1205,63,Mar
553,9fj_-Sr84CU,Height and Diameter in Binary Tree | C++ Placement Course | Lecture 27.7,2021-03-28,77478,1664,153,Mar
554,IHfZaRZFg7s,Count and Sum of Nodes | C++ Placement Course | Lecture 27.6,2021-03-28,53159,1366,54,Mar
555,IZa8pbR8CWs,Adding CSS to Mega Project,2021-03-27,172028,3253,121,Mar
556,vQIiUWofWw8,"Level Order Traversal , Sum at Kth Level In Binary Tree | C++ Placement Course | Lecture 27.5",2021-03-27,91057,2102,100,Mar
557,PJX9T2oVKmk,Build Tree Postorder and Inorder | C++ Placement Course | Lecture 27.4,2021-03-27,66233,1586,111,Mar
558,HJKoNLGRnYk,Build Tree from Preorder and Inorder | C++ Placement Course | Lecture 27.3,2021-03-26,133231,2621,154,Mar
559,67zlUtAr2LE,"Binary Tree Traversals| Preorder, Inorder, Postorder Traversal | C++ Placement Course | Lecture 27.2",2021-03-26,147108,3374,133,Mar
560,rW0mnUpA26U,How to Write a Proposal for Google Summer of Code | GSOC 2021,2021-03-25,27870,1212,75,Mar
561,_jKa4gycZTw,Binary Tree Introduction | C++ Placement Course | Lecture 27.1,2021-03-25,180673,3615,141,Mar
562,T-Oj2Ajj9vA,Longest substring without repeating characters | C++ Placement Course | Lecture 26.3,2021-03-25,68597,1302,86,Mar
563,7FE5Q_Bqzw8,Max Consecutive Ones | C++ Placement Course | Lecture 26.2,2021-03-24,39884,967,90,Mar
564,BCLfxQja9dI,Two Pointers | Three Sum Problem | C++ Placement Course | Lecture 26.1,2021-03-24,81000,1807,137,Mar
565,XlD5VsOZsyA,The Stock Span Problem | C++ Placement Course | Lecture 25.5,2021-03-23,45778,1119,121,Mar
566,rlCSjCGc3Z0,Redundant Parenthesis | C++ Placement Course | Lecture 25.4,2021-03-23,42805,1087,73,Mar
567,BsPbCLj4_Mw,Trapping Rainwater | C++ Placement Course | Lecture 25.3,2021-03-22,56461,1074,130,Mar
568,Xdhdgl0Ju4k,Learn Animations in CSS,2021-03-18,209906,5559,329,Mar
569,0cBvL1U9QNo,GSOC : How to select an organisation ? | Google Summer of Code 2021,2021-03-15,28500,1438,116,Mar
570,fyy2Mr84vNM,Google Summer of Code : Step by step guide to GSOC 2021 by GSOCER,2021-03-12,293459,16316,520,Mar
571,YtxLexm-9pI,How Internet Works ? In-depth animated video for students,2021-03-11,316122,17832,557,Mar
572,tMfy0tQ2HHk,Top 5 Front End Frameworks for 2021,2021-03-05,50484,2232,180,Mar
573,hGl8Boeb7S4,Largest Rectangle Code | C++ Placement Course | Lecture 25.2,2021-03-03,74181,1313,335,Mar
574,4JstGzs6Q9I,Sliding Window Maximum using Deque | C++ Placement Course | Lecture 25.1,2021-03-02,81038,1520,359,Mar
575,KhPJ5xF4gIk,CSS Grid -2 Challenge - 9 | Web Development Course,2021-02-27,73227,1302,200,Feb
576,8imJZHgf44E,CSS Grid-1 Challenge #8 | Web Development Course,2021-02-24,82783,1354,136,Feb
577,AJCse3XPkrY,Stacking using Queues (Method 2) | C++ Placement Course | Lecture 24.4.2,2021-02-23,44970,1002,118,Feb
578,xBSlwwitD5U,CSS Grid | Web Development Course,2021-02-22,191893,4239,163,Feb
579,eKtwlzRyuIc,Flexbox-3 Challenge | CSS | Web Development Course,2021-02-22,77696,1265,123,Feb
580,hFvf0iPOjT8,Flexbox-2 Challenge | CSS | Web Development Course,2021-02-21,88960,1318,138,Feb
581,FbPIay0KN00,Stack using Queue | C++ Placement Course | Lecture 24.4,2021-02-20,73910,1496,142,Feb
582,OGkaHOD6CRU,Flexbox-1 Challenge | CSS | Web Development Course,2021-02-20,115949,1708,173,Feb
583,iuI0SKPT35Y,ACM ICPC - International Collegiate Programming Contest,2021-02-18,99264,5289,161,Feb
584,iEwX3XA5SDo,Queue using Stack | C++ Placement Course | Lecture 24.3,2021-02-16,84747,1687,149,Feb
585,Yi8Im4_eSQI,Linked List Implementation of Queues | C++ Placement Course | Lecture 24.2,2021-02-16,91634,1966,78,Feb
586,fbonDkYsKj0,Introduction to Queue Data Structure | C++ Placement Course | Lecture 24.1,2021-02-15,177504,3845,189,Feb
587,zts6uNVnCNs,Learn Flexbox Under 25mins | Web Development Course,2021-02-13,268527,7367,286,Feb
588,9wad39LmzPY,All about Google Kickstart 2021,2021-02-12,131207,7757,227,Feb
589,P31WyOcQvaE,Balanced Parenthesis | C++ Placement Course | Lecture 23.9,2021-02-12,90533,2084,155,Feb
590,j5Q7gVtTy3M,Google Hash Code 2021 | All about Google Hash Code,2021-02-11,100673,5355,264,Feb
591,snDDBjT8jYA,Infix to Prefix | C++ Placement Course | Lecture 23.8,2021-02-11,85991,1773,110,Feb
592,5B6jw4wOJR0,Postfix Expression Evaluation | C++ Placement Course | Lecture 23.6,2021-02-10,96219,2114,78,Feb
593,MuF5p8-oWc8,Prefix Expression Evaluation | C++ Placement Course | Lecture 23.5,2021-02-10,92858,1979,109,Feb
594,6T3jMNUCRNU,"Introduction to Prefix, Infix and Postfix | C++ Placement Course | Lecture 23.4",2021-02-09,128328,3339,89,Feb
595,mg9yi6YuAVk,Infix to Postfix - Stack Challenges | C++ Placement Course | Lecture 23.7,2021-02-03,159381,3110,228,Feb
596,V2reKQOgE88,Reverse a Stack | C++ Placement Course | Lecture 23.3,2021-02-02,110522,2538,130,Feb
597,D_YpGeDy-i8,Challenge #4 : Positions | Web Development Course,2021-02-01,113274,1935,220,Feb
598,k1O1PhuarpI,Reverse a Sentence using Stacks | Stack Challenge | C++ Placement Course | Lecture 23.2,2021-02-01,124404,2555,166,Feb
599,Hkoml2mXDD8,All about Open Source Project | How is it beneficial for students | Stipends,2021-01-31,150513,9773,557,Jan
600,JvuaAgDar1c,Stack Data Structure - Introduction | C++ Placement Course | Lecture 23.1,2021-01-31,247353,5561,264,Jan
601,lcPs2BbbI_M,Challenge 3: Float | Web Development Course,2021-01-28,128697,2306,236,Jan
602,oZ-ZIhJyy9o,Time Complexity using Masters Theorem | C++ Placement Course | Lecture 16.5,2021-01-27,91365,2152,135,Jan
603,s2fwy4ri0RU,2021 - Top 5 Programming Language for College Students 2021,2021-01-26,416398,23548,1077,Jan
604,TaNfBSbpX_o,Put Even Position Nodes after Odd Position Nodes | C++ Placement Course | Lecture 22.11,2021-01-25,64311,1745,177,Jan
605,1t8NAjIXvVA,Circular Linked List - C++ Placement Course | Lecture 22.10,2021-01-24,104839,2465,135,Jan
606,IHeY7XMfXCc,Is Competitive Programming a MUST for placements?,2021-01-23,198533,14943,519,Jan
607,xpoWxFyGuC8,Floats & Position Properties | CSS | Web Development Course,2021-01-23,265197,5317,212,Jan
608,V5rEOX-PuPE,Avoid these 10 Mistakes as a Coder | 10 Lessons | FAANG Companies,2021-01-22,590221,37022,1118,Jan
609,2WMRDUS_b4E,Responsiveness Challenge | CSS | Web Development Course,2021-01-22,174429,3190,232,Jan
610,p870o46o1bM,What is Responsiveness? CSS | Web Development Course | Lecture 7,2021-01-21,284965,6113,365,Jan
611,5plesRICYTI,How to find Job on LinkedIn ? | Tips | How to build a strong profile ?,2021-01-20,902590,43442,1076,Jan
612,n5_9DMCX0Yk,Merge 2 Sorted Linked List | C++ Placement Course | Lecture 22.9,2021-01-16,125769,2846,226,Jan
613,l-EkcthUMl4,Debugging in CSS | Web Development Course,2021-01-10,290517,6065,307,Jan
