,Channel_name,Subscribers,Views,Total_videos,playlist_id
0,techTFQ,191000,9284733,87,UUnz-ZXXER4jOvuED5trXfEA
1,BuzzFeed India,891000,297227027,542,UUmDgY7fZKvgatlO0Tib2ggQ
2,Monkey Magic,1770000,483542090,261,UUbuj4kbjP05NLiWUbpSuBPw
3,Apna College,3550000,522547302,706,UUBwmMxybNva6P_5VmxjzwqA
4,CodeWithHarry,3950000,528055333,2042,UUeVMnSShP_Iviwkknt83cww
