,Video_id,Title,Published_date,Views,Likes,Comments,Channel_Title,Month
0,BZ28o5oXMvE,Rust being used in Ransomware,2023-04-19,75756,8304,59,Apna College,Apr
1,K9vkWIpEFJs,IGDTUW College Review InShort,2023-04-18,33821,2909,134,Apna College,Apr
2,bj3rCZKbLgY,Should you do BCA in 2023? All about BCA,2023-04-16,166101,10923,1457,Apna College,Apr
3,42ZrKGaP3Rs,One Thing to Increase your Confidence,2023-04-14,125568,16381,88,Apna College,Apr
4,di3_aVJy7Kw,How to find Internships with no skills?,2023-04-11,133840,17429,98,Apna College,Apr
5,1g3kYtJf6Tw,Java or C++ or Python | Which language is best for Placements?,2023-04-10,353885,15441,994,Apna College,Apr
6,Y3tGRG5US98,3 Mistakes to Avoid as a Coder,2023-04-09,325951,35672,151,Apna College,Apr
7,h7LDnVsNRVI,What is DevOps? DevOps Explained | Simplest Explanation in Hindi,2023-04-06,138420,7337,664,Apna College,Apr
8,Bf933DFF_FI,Should you do Competitive Coding in 2023? for all Coders,2023-04-04,182337,8041,384,Apna College,Apr
9,-rx10TffM3g,Intuit CTC Breakdown,2023-04-03,120206,10459,250,Apna College,Apr
10,SZmHoyikiYc,How did he got Internship at Google International in First year? Alpha 1.0 student,2023-03-31,153328,6498,480,Apna College,Mar
11,MZ7h8rcfPo8,Big Reveal - Get Placement Ready with 4.0! |,2023-03-27,302493,12226,1664,Apna College,Mar
12,NQ1wl-xTfv0,Get Placement Ready - Big Announcement for all Coders❤️,2023-03-24,327197,15074,1045,Apna College,Mar
13,LIKtrrt2xdk,Amazon CTC Breakdown,2023-03-23,486172,33962,149,Apna College,Mar
14,lCTh5iCTBec,How to Score More in College Exams? 5 Mistakes to avoid,2023-03-21,155442,10408,525,Apna College,Mar
15,GlP6eeS-QQQ,How to monetize Open Source?,2023-03-20,181146,10873,81,Apna College,Mar
16,miT4CK_5Sac,MNIT Jaipur College Review | InShort,2023-03-17,183495,14417,543,Apna College,Mar
17,CR9P6rM0H9o,IIIT Allahabad College Review | In Short,2023-03-15,313255,25035,669,Apna College,Mar
18,7X-TfHa3Q74,Shradha Didi invited at Microsoft Office | Open Source Day Seminar,2023-03-13,1078841,75158,183,Apna College,Mar
19,hiNrsOx4UHw,Discipline & Hardwork will beat anything in the world🔥,2023-03-11,725413,74369,204,Apna College,Mar
20,yu5IYO0fcS8,Are you getting bored from Coding? 5 Tips to enjoy Coding,2023-03-09,288795,14752,684,Apna College,Mar
21,yk9keUhwSok,Skills to build in 2023,2023-03-06,686412,94167,237,Apna College,Mar
22,IaSIsSgeVx4,A message for all students❤️,2023-03-05,595713,64402,379,Apna College,Mar
23,N_iuN37-uuQ,Software Engineer without BTech? | NetApp - Student Interview,2023-03-04,132209,4704,499,Apna College,Mar
24,EEbubZiAKDk,Top 10 Exams for Engineering Colleges,2023-02-28,804346,69742,436,Apna College,Feb
25,zp81aX1zSYQ,Top 5 IITs of India | Oldest IITs of India,2023-02-25,240953,17943,381,Apna College,Feb
26,KATM9yf8tXM,IIT Kanpur College Review InShort,2023-02-24,303248,24201,517,Apna College,Feb
27,doSFDItcQrk,How to Prepare for Placements & Internships in 4 months?,2023-02-23,420726,23914,868,Apna College,Feb
28,HfaCF7eWefw,Jadavpur University College Review Inshort,2023-02-20,570945,50534,498,Apna College,Feb
29,7YRkQugpp3U,NIT Trichy College Review InShort,2023-02-17,195107,15670,656,Apna College,Feb
30,2y8YZktCNj0,How this student got Internship of 1.5Lakh/Month?,2023-02-14,177659,4619,366,Apna College,Feb
31,gO-qIeaPitk,Meeting my College Juniors❤️,2023-02-12,1606427,153032,503,Apna College,Feb
32,uXn85kgphuA,BITS Pilani College Review | In Short,2023-02-11,1376147,87380,1250,Apna College,Feb
33,mft5UgJYAXU,NIT Warangal College Review In Short,2023-02-10,195662,16974,621,Apna College,Feb
34,cp3UD82R03A,IIT Bombay College Review in Short,2023-02-08,443074,47030,953,Apna College,Feb
35,ID0-RbOEbvg,IIT Madras College Review in Short,2023-02-04,324023,34804,878,Apna College,Feb
36,pdb6eOeSPok,Seminar at NIT Agartala by Shradha Didi @ApnaCollegeOfficial,2023-02-02,2551282,197388,714,Apna College,Feb
37,EenMiF1QDuI,Do you have any Questions for me? Interview Qs,2023-01-31,685898,81134,155,Apna College,Jan
38,eZvePsf0W_A,Seminar in DU by Shradha didi @ApnaCollegeOfficial,2023-01-28,1546744,119673,418,Apna College,Jan
39,NGViboaAbSI,Must Watch : Surprise Honest Talk | Republic Day Special,2023-01-26,186512,10146,686,Apna College,Jan
40,QXT475sMD3c,IIT Delhi | College Review In Short🔥,2023-01-24,813845,77974,260,Apna College,Jan
41,DUgz47G4neM,How this student got Internship of Rs70K/month?,2023-01-23,360445,11542,555,Apna College,Jan
42,4ve0YjLHQTg,What do Software Engineers do?,2023-01-22,379435,38038,111,Apna College,Jan
43,F-l48mJs4LI,"Ranks for IITs, NITs & IIITs?",2023-01-20,338115,32058,304,Apna College,Jan
44,a4bA8n5h_xg,3 Things I learnt from Microsoft,2023-01-19,547319,62760,123,Apna College,Jan
45,uhDLHn6uVUg,STAR Method of Answering in Interviews,2023-01-17,261502,29580,90,Apna College,Jan
46,s3jGpZXxzJ8,3 Mistakes to avoid in Interviews | 2023,2023-01-14,825724,89788,132,Apna College,Jan
47,59fUtYYz7ZU,Graph Data Structure | Tutorial for Graphs in Data Structures,2023-01-13,242466,7081,490,Apna College,Jan
48,KZR_UUcOyrg,How to Start Coding in 2023? Learn Programming for Beginners,2023-01-12,1176110,57769,2206,Apna College,Jan
49,R2KltLS41oU,Why do you want to join us? Interview Question #7,2023-01-10,258799,34092,141,Apna College,Jan
50,drFIDUbDmq0,Why should we hire you? Interview Question #6,2023-01-09,761060,91550,281,Apna College,Jan
51,hasloamb29o,What is your Strength? Interview Question #5,2023-01-06,414694,52948,165,Apna College,Jan
52,u3FtKYm6ykE,How to say I don't know in Interviews | Interview Qs #4,2023-01-04,1991540,240508,742,Apna College,Jan
53,ICJVW8KcWWs,Can you become Software Developer without Btech? | Bsc/MCA student | Alpha Course Review,2023-01-03,321660,12230,1068,Apna College,Jan
54,aT3oNWL2Ec4,Alpha Course Review | How is Alpha batch? Placement Stories | @ApnaCollegeOfficial,2023-01-01,118246,5568,447,Apna College,Jan
55,sLy0YhyubPs,Don't miss this -  Year End Surprise 🔥 | for all Coders | Happy New Year to you all ❤️,2022-12-31,129858,9183,636,Apna College,Dec
56,-C07a0AULWQ,Biggest Surprise for all Coders | New Office 🔥|  Launching Alpha 3.0 & more | @AmanDhattarwal,2022-12-29,931120,29804,2000,Apna College,Dec
57,MItn2oV4VKM,What's coming in 2023? Big Announcement for all Coders❤️,2022-12-25,296851,15743,1395,Apna College,Dec
58,P4Ow-tct640,Tell me your weakness | Interview Qs #3,2022-12-23,1234003,141149,244,Apna College,Dec
59,oOHjhoDWOpE,True Package of Amazon SDE1 | Software Engineer,2022-12-21,204972,7528,566,Apna College,Dec
60,O44ZKCXclnA,Tell me something not mentioned in Resume | Interview Question #2,2022-12-20,639731,74187,149,Apna College,Dec
61,PeAEHNWjNXM,Did you know why apps do this?,2022-12-19,1660152,143281,770,Apna College,Dec
62,HGAw-Fqy9Lc,Puzzles for Software Engineers | Google #24,2022-12-18,323356,23940,378,Apna College,Dec
63,rtVbdyMbjRI,Tell me about yourself | Interview Question #1,2022-12-17,4434857,476595,530,Apna College,Dec
64,dLQywM7uHUE,How to apply for Off-campus Internships? For College Students,2022-12-14,252491,14276,395,Apna College,Dec
65,r5YXCN5pJyg,Puzzles for Software Engineers | MakeMyTrip #23,2022-12-13,355281,21612,230,Apna College,Dec
66,UYQddvyCTVY,Puzzles for Software Engineers | #22,2022-12-11,248469,17981,213,Apna College,Dec
67,Eq9evcrYN1w,Puzzles for Software Engineers | #21,2022-12-10,1799845,81436,2387,Apna College,Dec
68,IF4HjQYl5jM,Off-campus Placements/ Internships | 3 Secret Sauces!,2022-12-09,141080,8683,326,Apna College,Dec
69,7lN_YE9RZbw,Puzzles for Software Engineers | Google #20,2022-12-07,241978,19085,184,Apna College,Dec
70,m9zawMC6QAI,Trie Data Structure | Java DSA Course,2022-12-06,73186,2095,211,Apna College,Dec
71,9j1KaGHvBEI,Puzzles for Software Engineers | Intuit #19,2022-12-05,412010,29151,429,Apna College,Dec
72,ohX6dzBwjCc,Are College marks Really Important ? How much GPA is enough ?,2022-12-04,138573,7732,419,Apna College,Dec
73,vjeEOTI3tXU,Puzzles for Software Engineers | Amazon #18,2022-12-03,511526,42515,619,Apna College,Dec
74,u2XVO6g-paY,Puzzles for Software Engineers #17 | for students,2022-12-01,6127214,342304,9487,Apna College,Dec
75,wyxtjs-kGoc,@ApnaCollegeOfficial   3 Million Subscribers Special🔥 | ft. @AmanDhattarwal,2022-11-30,317119,18399,1160,Apna College,Nov
76,8GwCPCUzH1w,Puzzles for Software Engineers | Microsoft #16,2022-11-27,984709,66364,1694,Apna College,Nov
77,elmI5mgY1ns,Puzzles for Software Engineers | Hitachi #15,2022-11-26,801935,49290,1171,Apna College,Nov
78,WAtQzfJcy5s,Why are Companies Laying off Employees?,2022-11-25,554539,21687,770,Apna College,Nov
79,ffuK6vt8tdY,What to do in College 3rd year? | Software Engineering Roadmap,2022-11-24,179048,9755,419,Apna College,Nov
80,rTRcntABSZ4,Hashing in Java | One Shot | 5 Best Questions,2022-11-23,56200,1417,150,Apna College,Nov
81,dIuSKJniwEM,Puzzles for Software Engineers | Apple #14,2022-11-22,298855,24696,254,Apna College,Nov
82,x7OSb4lKQbM,3 Resume Mistakes you must avoid | Why is your resume getting Rejected?,2022-11-21,319855,13371,342,Apna College,Nov
83,1r-8fc7LMHo,Puzzles for Software Engineers | Google #13,2022-11-20,1980562,125142,3269,Apna College,Nov
84,nnsrwPu-MWo,Coding Technologies to learn in College🔥,2022-11-19,374623,22798,857,Apna College,Nov
85,k7fICVfS60I,Puzzles for Software Engineers | Google #12,2022-11-18,275717,22988,637,Apna College,Nov
86,IuWO63E-Kqs,Puzzles for Software Engineers | Microsoft #11,2022-11-17,1325659,71731,1329,Apna College,Nov
87,iKnC5_17cTY,3 Things to look for when buying a Laptop,2022-11-16,1121187,138603,562,Apna College,Nov
88,ALJ-AQpQvNM,Puzzles for Software Engineers | Google #10,2022-11-14,11642769,684821,17806,Apna College,Nov
89,XjkU6GfTUME,Off-campus Placement 1 Crore+ Package | FAANG Off Campus | Youtube Student Interview,2022-11-13,252222,12264,544,Apna College,Nov
90,8NKPVlYcBxI,Why are Layoffs happening?,2022-11-10,371891,31277,402,Apna College,Nov
91,tL1UASLn-Js,5 Websites for Freelancing,2022-11-08,435006,57571,122,Apna College,Nov
92,KDZ_IXvpMG4,HashMap Implementation in Java | HashMap | Java with DSA,2022-11-07,100509,2970,318,Apna College,Nov
93,GurrXDTnKs0,Tech related Job without Coding,2022-11-07,603638,58848,376,Apna College,Nov
94,h0ZGxsPxncA,Google Managers say Certificates ...,2022-11-04,449777,56952,240,Apna College,Nov
95,DZjrmtFUsrE,5 Easiest Coding Language to learn (my opinion),2022-11-03,1024267,126709,379,Apna College,Nov
96,8dzDzFbOQ4g,Tier 3 to Tech Company | Paid his college fee | Alpha student | Review,2022-11-01,175028,10640,794,Apna College,Nov
97,BGp8fkpQu2M,Is English Compulsory for Coding Interviews? Software Engineers,2022-10-26,884335,97817,318,Apna College,Oct
98,a_ac2tKmEKw,Happy Diwali to you and your family | Diwali Dhamaka ❤️,2022-10-24,109190,6778,615,Apna College,Oct
99,1LcA_A4A-lc,Puzzles for Software Engineers | Amazon #9,2022-10-21,380039,31574,826,Apna College,Oct
100,I1HTOu9Nljk,Bullet Bike Prize | Gave him a Surprise | Keep Working towards your Goals,2022-10-19,242739,9729,514,Apna College,Oct
101,nIj2etyEhwo,Can Tier2/3 College students get good Placements? Indian Package,2022-10-18,117551,5978,429,Apna College,Oct
102,ksu0_iTnOBY,"Mujhe Nahi Pata, Mujhse mat pucho na | Alpha❤️ | Not an Educational Video",2022-10-17,403396,18569,641,Apna College,Oct
103,Gn5oj3vTJv4,Mechanical Branch to Tech Placement | Alpha Interview | @ApnaCollegeOfficial,2022-10-14,213393,10617,895,Apna College,Oct
104,5jS-agcQgfM,"Big Revolution | Placement ho to Alpha, nahi to course to college bhi karate hai |",2022-10-12,769982,41750,3186,Apna College,Oct
105,_8gq4AKtCXw,Kaash ye humne pehle kia hota | Big Reveal | India's Biggest Problem,2022-10-11,190778,9263,508,Apna College,Oct
106,wV2aJhbTcLo,Puzzles for Software Engineers | Microsoft #8,2022-10-09,1040508,76141,1383,Apna College,Oct
107,Z557Ip9dhRc,What is 2.0? | Big Announcement for you all Coders❤️,2022-10-07,463976,28347,1751,Apna College,Oct
108,7vRBCLPPGME,Puzzles for Software Engineers | Bloomberg #7,2022-10-06,675907,52555,2263,Apna College,Oct
109,ZY2esFbD9uY,What happened at Airport ? Happy Dussehra 🔥,2022-10-05,1240512,73066,513,Apna College,Oct
110,m6EjUAHwaRY,Puzzles for Software Engineers | Amazon #6,2022-10-03,2095418,146116,4448,Apna College,Oct
111,ugn5t8xGHio,Puzzles for Software Engineers | Google #5,2022-10-01,8912171,457894,13164,Apna College,Oct
112,XF4l1T8kLUo,Puzzles for Software Engineers | Amazon #4,2022-09-30,6871850,407870,18240,Apna College,Sep
113,7fHBgiruWI0,Puzzles for Software Engineers | Google #3,2022-09-29,7848436,361057,28780,Apna College,Sep
114,uoE5wQGCAwY,Puzzles for Software Engineers | Microsoft #2,2022-09-27,2589273,140129,2589,Apna College,Sep
115,9uOsB39DwGM,Puzzles for Software Engineers | Apple #1,2022-09-26,5772954,257713,4593,Apna College,Sep
116,Zff3rUY0iGg,How to Study MORE in LESS TIME 🔥 | 5 Principles | for students,2022-09-24,5457119,265595,3712,Apna College,Sep
117,Vknjkmu7hgc,Can we control things with our brain? Brain Computer Interfacing,2022-09-21,713113,79130,359,Apna College,Sep
118,Z7dZWbMtlY0,New Jobs because of Automation,2022-09-19,495862,46846,300,Apna College,Sep
119,brdX6IiPW3k,What is sunk cost fallacy?,2022-09-18,672376,52432,244,Apna College,Sep
120,2VNO-UJB2PE,Magic or Myth? The Golden Ratio | Fibonacci,2022-09-17,189746,14422,671,Apna College,Sep
121,bLmrMrqRDTo,What is Negative Code?,2022-09-16,674663,68883,213,Apna College,Sep
